,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
11797,hw um man na,ummanna,nE,,,,,,,,,,,PN,,,PN,hw.um?-man-na,𒁁 𒌝 𒌋𒌋 𒈾,False,0,False
11798,hw un pa a a,unpaaa,nE,,,,,,,,,,,PN,,,PN,hw.un-pa-a-a,𒁁 𒌦 𒉺 𒀀 𒀀,False,0,False
11799,hw un zí ya,unziya,nE,,,,,,,,,,,PN,,,PN,hw.un-zí-[ya?],𒁁 𒌦 𒍢 𒉿,False,0,False
11800,hw un ban me iš,unbanmeis~,nE,,,,,,,,,,,PN,,,PN,hw.un?-ban?-me?-iš,𒁁 𒌦 𒉼 𒈨 𒅖,False,0,False
11801,hw un taš,untas~,nE,,,,,,,,,,,PN,,,PN,hw.un.taš,𒁁 𒌦 𒌨,False,0,False
11802,hw ut na …,utna,nE,,,,,,,,,,,PN,,,PN,hw.ut-na-[…],𒁁 𒌓 𒈾 …,False,0,False
11803,hw uz gi ri …,uzgiri,nE,,,,,,,,,,,PN,,,PN,hw.uz-gi-ri?-[…],𒁁 𒊻 𒄀 𒊑 …,False,0,False
11804,hw za da,zada,nE,,,,,,,,,,,PN,,,PN,hw.za-da,𒁁 𒍝 𒁕,False,0,False
11805,hw za man du iš,zamanduis~,achE,,,,,,,,,,,PN,,,PN,hw.za-man-du-iš,𒁁 𒍝 𒌋𒌋 𒁺 𒅖,False,0,False
11806,hw za ra …,zara,nE,,,,,,,,,,,PN,,,PN,hw.za-ra-[…],𒁁 𒍝 𒊏 …,False,0,False
11807,hw za ri man,zariman,nE,,,,,,,,,,,PN,,,PN,hw.za-ri-man,𒁁 𒍝 𒊑 𒌋𒌋,False,0,False
11808,hw zak en be iš,zakenbeis~,nE,,,,,,,,,,,PN,,,PN,hw.zak?-en-be-iš,𒁁 𒍠 𒂗 𒁁 𒅖,False,0,False
11809,hw zak ri en be iš,zakrienbeis~,nE,,,,,,,,,,,PN,,,PN,hw.zak?-ri-en-be-iš,𒁁 𒍠 𒊑 𒂗 𒁁 𒅖,False,0,False
11810,i a a,iaa,oE,,,,,,,,,,,PN,,,PN,i-a-a,𒄿 𒀀 𒀀,False,0,False
11811,i a a e,iaae,oE,,,,,,,,,,,PN,,,PN,i-a-a-[e],𒄿 𒀀 𒀀 𒂊,False,0,False
11813,i a an ku uk,iaankuuk,oE,,,,,,,,,,,PN,,,PN,i-a-an.ku-uk,𒄿 𒀀 𒀭 𒆪 𒊌,False,0,False
11816,i ba ni giš,ibanigis~,oE,,,,,,,,,,,PN,,,PN,i-ba.ni-giš,𒄿 𒁀 𒉌 𒄑,False,0,False
11817,i bi bi,ibibi,oE,,,,,,,,,,,PN,,,PN,i-bi-bi,𒄿 𒁉 𒁉,False,0,False
11818,i bi na pi ir,ibinapiir,oE,,,,,,,,,,,PN,,,PN,i-bi.na-pi-ir,𒄿 𒁉 𒈾 𒉿 𒅕,False,0,False
11819,i bu bu,ibubu,oE,,,,,,,,,,,PN,,,PN,i-bu-bu,𒄿 𒁍 𒁍,False,0,False
11820,i da a du,idaadu,oE,,,,,,,,,,,PN,,,PN,i-da-a-du,𒄿 𒁕 𒀀 𒁺,False,0,False
11821,i da da,idada,oE,,,,,,,,,,,PN,,,PN,i-da-da,𒄿 𒁕 𒁕,False,0,False
11822,i da du,idadu,oE,,,,,,,,,,,PN,,,PN,i-da-du,𒄿 𒁕 𒁺,False,0,False
11823,i da du a gu un,idaduaguun,oE,,,,,,,,,,,PN,,,PN,i-da-du.a-gu-un,𒄿 𒁕 𒁺 𒀀 𒄖 𒌦,False,0,False
11824,i da du d MÙŠ EREN,idadumus~eren,oE,,,,,,,,,,,PN,,,PN,i-da-du.d.MÙŠ.EREN,𒄿 𒁕 𒁺 𒀭 𒈹 𒂞,False,0,False
11825,i da du gu la,idadugula,oE,,,,,,,,,,,PN,,,PN,i-da-du.gu-la,𒄿 𒁕 𒁺 𒄖 𒆷,False,0,False
