,txtid,lnr,cth_number,word,translit,gloss,trans_de
146941,KBo 52.97,Vs. I 11,670,1,1,QUANcar,ein
146942,KBo 52.97,Vs. I 12,670,1,1,QUANcar,ein
146943,IBoT 4.250,Vs. r. Kol. 2′,670,nu,⸢nu⸣,CONNn,' nu
146944,IBoT 4.250,Vs. r. Kol. 2′,670,2,2,QUANcar,zwei
146945,IBoT 4.250,Vs. r. Kol. 6′,670,1,1,QUANcar,ein
146946,ABoT 2.208,4′,670,1,1,QUANcar,ein
146947,KBo 68.90,2′,670,1,1,QUANcar,ein
146948,KBo 68.90,5′,670,2,2,QUANcar,zwei
146949,KBo 66.307,lk. Kol. 1′,670,paršianzi,pár-ši-ia-a[n-zi],3PL.PRS,zerbrechen
146950,KBo 66.307,lk. Kol. 2′,670,ištanani,⸢iš⸣-ta-na-ni,D/L.SG,Altar
146951,KBo 66.253,2′,670,GUNNIi,GUNNI-i,D/L.SG,Herd
146952,KBo 66.253,3′,670,kutti,ku-ut-ti,D/L.SG,Mauer
146953,Bo 7597,5′,670,3,3,QUANcar,drei
146954,Bo 7597,6′,670,paizi,p]a-iz-z[i,3SG.PRS,gehen
146955,Bo 9315,4′,670,ḫalziššanzi,ḫal-zi-iš-ša-a[n-zi,3PL.PRS.IMPF,rufen
146956,Bo 10027,5′,670,1,1,QUANcar,ein
146957,Bo 9310,1′,670,kišari,ki-š]a-ri,3SG.PRS.MP,werden
146958,Bo 9310,5′,670,zikkezi,z]i-ik-⸢ke⸣-ez-z[i,3SG.PRS.IMPF,setzen
146959,Bo 9991,2′,670,ašešanzi,a-še-ša-a[n-zi,3PL.PRS,(hin)setzen
146960,Bo 8111,2′,670,3-ŠU,3-~ŠU~,QUANmul,dreimal
146961,Bo 8111,3′,670,memai,me-ma-i,3SG.PRS,sprechen
146962,Bo 8111,4′,670,paluaizi,pal]-⸢wa⸣-ez-z[i,3SG.PRS,anstimmen
146963,Bo 4069,Vs. 5′,670,epzi,⸢e-ep⸣-zi,3SG.PRS,fassen
146964,Bo 4069,Vs. 8′,670,tiezi,ti-i-e-ez-zi,3SG.PRS,treten
146965,Bo 4069,Vs. 9′,670,ankullumnieš,{URU}an-kul-l]u-⸢um⸣-ni-eš,NOM.PL.C,ankulläisch
146966,Bo 4069,Rs. 1′,670,tiezi,ti-i-⸢e-ez⸣-zi,3SG.PRS,treten
146967,Bo 4069,Rs. 5′,670,ḫarzi,ḫar-zi,3SG.PRS,haben
146968,Bo 4069,Rs. 6′,670,1-EN,1-~EN~,QUANcar,ein
146969,Bo 4069,Rs. 8′,670,ḫarzi,ḫ]ar-zi,3SG.PRS,haben
146970,Bo 4069,Rs. 9′,670,nušza,n]u-uš-za,CONNn=PPRO.3PL.C.ACC,'nu=uš
146971,Bo 9894,4′,670,nušma,⸢nu⸣-uš-ma,CONNn=PPRO.3PL.C.ACC,'nu=uš
146972,Bo 5079,5′,670,ḫarišzi,ḫar-iš-z[i],3SG.PRS,aufreißen
146973,Bo 5079,6′,670,šunnai,šu-un-na-a-i,3SG.PRS,füllen
146974,Bo 5079,8′,670,memai,me-ma-i,3SG.PRS,sprechen
146975,Bo 9790,4′,670,2,2,QUANcar,zwei
146976,Bo 9790,6′,670,ienzi,i-en-zi,3PL.PRS,machen
146977,Bo 7723,7′,670,ašma,a-aš-ma,ADV,erstens
146978,Bo 9300,lk. Kol. 4′,670,3,⸢3,QUANcar,drei
146979,Bo 9300,lk. Kol. 6′,670,išpantanzi,i]š-pa-an-ta-an-zi,3PL.PRS,opfern
146980,Bo 9300,lk. Kol. 7′,670,nuza,n]u-za,CONNn=REFL,' nu=z
146981,Bo 9792,3′,670,1-ENma,1-~EN~-ma,QUANcar        += ma,ein
146982,Bo 9792,4′,670,araḫzanta,a-ra-aḫ-za-an-da,ADV,(nach) draußen
146983,Bo 5156,Vs.? 6′,670,nukan,nu-kán,CONNn=OBPk,' nu=kan
146984,Bo 5156,Vs.? 13′,670,40,40,QUANcar,40
146985,Bo 5156,Vs.? 14′,670,apašpat,a-⸢pa-aš-pát⸣,DEM2/3.NOM.SG.C,er
146986,Bo 5156,Rs.? 6′,670,le,le-e,NEG,nicht!
146987,Bo 5156,Rs.? 6′,670,aki,a-ki,3SG.PRS,sterben
146988,KBo 70.100,lk. Kol. 2′,670,memai,me-ma-i,3SG.PRS,sprechen
146989,KBo 70.100,lk. Kol. 4′,670,paluaizi,pal-wa-a-e]z-zi,3SG.PRS,anstimmen
146990,KBo 64.349,r. Kol. 2′,670,UŠ-KE-EN,~UŠ-KE-EN~,3SG.PRS,sich niederwerfen
146991,KBo 64.349,r. Kol. 3′,670,ŠA 3,~ŠA~ 3,{ a → …:GEN.SG}   { b → …:GEN.PL},drei
146992,KBo 64.349,r. Kol. 6′,670,taz,ta-az,CONNt=REFL,' ta=z
146993,KBo 64.349,r. Kol. 6′,670,paizi,pa-iz-zi,3SG.PRS,gehen
146994,KBo 64.349,r. Kol. 7′,670,epzi,~⸢~e⸣-e[p-zi,3SG.PRS,fassen
146995,KBo 64.347,Vs.? 4′,670,šuḫḫanzi,šu-uḫ-ḫa-an-zi,3PL.PRS,schütten
146996,KBo 64.347,Vs.? 11′,670,nankan,na]-an-ká[n,CONNn=PPRO.3SG.C.ACC=OBPk,' n=an=kan
146997,KBo 70.102,r. Kol. 7′,670,1,1,QUANcar,ein
146998,KBo 70.105,2′,670,epzi,e-e[p-zi,3SG.PRS,fassen
146999,KBo 64.353,1′,670,pianzi,p]í-an-zi,3PL.PRS,geben
147000,KBo 64.348,r. Kol. 1′,670,nu,nu,CONNn,' nu
147001,KBo 64.348,r. Kol. 3′,670,šanḫanzi,⸢ša-an⸣-ḫa-an-z[i,3PL.PRS,suchen/reinigen
147002,KBo 70.91,4′,670,GUNNIi,GUNNI-i,D/L.SG,Herd
147003,KBo 70.101,r. Kol. 3′,670,nuza,nu-za,CONNn=REFL,' nu=z
147004,KBo 70.101,r. Kol. 4′,670,nu,⸢nu⸣,CONNn,' nu
147005,KBo 64.325,2′,670,nuza,nu-za,CONNn=REFL,' nu=z
147006,KBo 64.325,2′,670,ketani,ke-e-da-ni,DEM1.D/L.SG,dieser
147007,KBo 70.78,Vs. 2′,670,3,3{KAM},QUANcar,drei
147008,KBo 70.106,3′,670,1,1,QUANcar,ein
147009,KBo 64.346,Vs.? 2′,670,1,⸢1⸣,QUANcar,ein
147010,KBo 64.351,5′,670,1,1,QUANcar,ein
147011,KUB 60.141,Rs. 4′,670,ašešnaš,a-še-eš-na-aš,GEN.SG.N,Versammlung
147012,KUB 60.141,Rs. 5′,670,tanzi,da-an-zi,3PL.PRS,nehmen
147013,KUB 60.141,Rs. 6′,670,tanzi,da-an-zi,3PL.PRS,nehmen
147014,KUB 55.36,2′,670,papparaššanzi,pa-ap-pár-aš-ša-an-[zi,3PL.PRS,(be)spritzen
147015,KUB 55.36,5′,670,arnuanzi,ar-nu-w[a-an-zi,3PL.PRS,fortbringen
147016,KUB 55.36,6′,670,1,1,QUANcar,ein
147017,KUB 55.36,6′,670,naḫḫitin,{NINDA}na-aḫ-ḫi-ti-i[n,ACC.SG.C,(Gebäck)
147018,KUB 55.36,7′,670,5,5,QUANcar,fünf
147019,KUB 55.36,7′,670,nu,nu,CONNn,' nu
147020,KUB 55.36,8′,670,nu,nu,CONNn,' nu
147021,KUB 55.36,9′,670,tanzi,da-an-zi,3PL.PRS,nehmen
147022,KUB 55.36,10′,670,3-ŠU,⸢3⸣-~ŠU~,QUANmul,dreimal
147023,KUB 55.36,10′,670,neari,ne-i[a-ri,3SG.PRS.MP,(sich) drehen
147024,KUB 55.36,11′,670,3-ŠU,3-~ŠU~,QUANmul,dreimal
147025,KUB 55.36,13′,670,3-ŠU,[3-~ŠU~,QUANmul,dreimal
147026,KUB 55.36,13′,670,neari,ne-ia-ri,3SG.PRS.MP,(sich) drehen
147027,KUB 55.36,13′,670,nu,nu,CONNn,' nu
147028,IBoT 4.317,Vs. 1′,670,tiazi,t]i-ia-zi,3SG.PRS,treten
147029,IBoT 4.317,Vs. 1′,670,2,2,QUANcar,zwei
147030,IBoT 4.317,Vs. 2′,670,n,[n,QUANcar,(unbekannte Zahl)
147031,IBoT 4.317,Vs. 3′,670,ZAG.GAR.RAni,{GIŠ}ZAG.GAR.RA-ni,FNL(n).D/L.SG,Opfertisch
147032,IBoT 4.317,Vs. 3′,670,2,2,QUANcar,zwei
147033,IBoT 4.317,Vs. 5′,670,KAŠit,KAŠ-it,INS,Bier
147034,IBoT 4.317,Vs. 6′,670,3-ŠU,3-~ŠU~,QUANmul,dreimal
147035,IBoT 4.317,Vs. 8′,670,tiazi,ti-ia-z[i,3SG.PRS,treten
147036,IBoT 4.317,Vs. 9′,670,4,4,QUANcar,vier
147037,IBoT 4.188,Vs. 3′,670,zippulaššin,{NIND]A}zi-ip-pu-la-aš-ši-i[n,ACC.SG.C,(Gebäck)
147038,IBoT 4.188,Vs. 4′,670,tanzi,d]a-a-an-zi,3PL.PRS,nehmen
147039,KUB 60.119,Vs. 2′,670,šunnai,šu-un-na-a-i,3SG.PRS,füllen
147040,KUB 60.119,Vs. 7′,670,tunnakešna,tu-un-na]-⸢ke⸣-eš-na,ALL,Innengemach
147041,KUB 60.119,Vs. 9′,670,ekuzi,e-ku-zi,3SG.PRS,trinken
147042,KUB 60.119,Vs. 17′,670,ḫattiliš,ḫa-at]-ti-li-iš,NOM.SG.C,hattisch
147043,KUB 60.119,Rs. 6′,670,ḫattiliš,ḫa-at-ti-l]i-iš,NOM.SG.C,hattisch
147044,KUB 60.119,Rs. 9′,670,ḫatkanzi,ḫa-at-k]án-zi,3PL.PRS,schließen
147045,IBoT 4.319,Vs. 2′,670,epzi,⸢e⸣-ep-z[i,3SG.PRS,fassen
147046,IBoT 4.319,Vs. 4′,670,1,1,QUANcar,ein
147047,IBoT 4.319,Vs. 5′,670,1,1,QUANcar,ein
147048,IBoT 4.319,Vs. 5′,670,GIŠi,GIŠ-i,D/L.SG,Holz
147049,IBoT 4.319,Vs. 6′,670,1-ŠU,1-~ŠU~,QUANmul,einmal
147050,IBoT 4.319,Vs. 8′,670,taualit,ta-wa-l[i-it,INS,(kultisches Getränk)
147051,KUB 55.32,lk. Kol. 5′,670,BANŠURun,{GIŠ⸢}BANŠUR⸣-un,FNL(u).ACC.SG.C,Tisch
147052,KUB 55.32,lk. Kol. 6′,670,nu,⸢nu,CONNn,' nu
147053,KUB 55.32,lk. Kol. 9′,670,7,⸢7⸣,QUANcar,sieben
147054,KUB 55.32,r. Kol. 4′,670,3-ŠU,3-~ŠU~,QUANmul,dreimal
147055,KUB 55.32,r. Kol. 5′,670,4,4,QUANcar,vier
147056,KUB 55.32,r. Kol. 8′,670,šarranzi,šar-ra-an-[zi,3PL.PRS,teilen
147057,KUB 55.32,r. Kol. 10′,670,UŠ-KÉ-EN,~UŠ-KÉ-EN~,3SG.PRS,sich niederwerfen
147058,KUB 55.32,r. Kol. 10′,670,nu,nu,CONNn,' nu
147059,KUB 55.32,r. Kol. 11′,670,nu,nu,CONNn,' nu
147060,KUB 55.32,r. Kol. 11′,670,5,5,QUANcar,fünf
147061,IBoT 4.318,Rs. 2′,670,tiazi,ti-ia-z[i,3SG.PRS,treten
147062,IBoT 4.318,Rs. 3′,670,takkan,ták-kán,CONNt=OBPk,' ta=kan
147063,IBoT 4.318,Rs. 4′,670,nu,nu,CONNn,' nu
147064,IBoT 4.318,Rs. 8′,670,kuiški,ku-iš-⸢ki⸣,INDFany.NOM.SG.C,irgendein
147065,KUB 55.34,4′,670,pittinuanzi,pít-ti-nu-an-⸢zi⸣,3PL.PRS,zum Laufen veranlassen
147066,KUB 55.34,6′,670,2,2,QUANcar,zwei
147067,KUB 55.27,3′,670,5,5],QUANcar,fünf
147068,KUB 55.27,3′,670,5,5,QUANcar,fünf
147069,KUB 55.27,4′,670,5,5,QUANcar,fünf
147070,KUB 55.27,5′,670,NUMUNni,NUMUN-ni,FNL(n).D/L.SG,Samen
147071,KUB 55.27,5′,670,38,38,QUANcar,38
147072,KUB 55.27,6′,670,taršuanzi,tar-šu-u-wa-an-zi,INF,trocknen
